CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,NR_LOCAL_VOTACAO,NM_LOCAL,ENDERECO,LATITUDE,LONGITUDE
86045,AMARAL FERRADOR,19,1058,E. E. JOSE DO PATROCINIO - CENTRO,"PRAÇA 4 DE MAIO, S/N",,
86045,AMARAL FERRADOR,19,1066,E.  M. JUREMA CARVALHO DE OLIVEIRA - COXILHA DE AMARAL FERRADOR,COXILHA DE AMARAL FERRADOR,,
86045,AMARAL FERRADOR,19,1074,ESCOLA MUNICIPAL COLONIA SANTO ANTONIO,COLONIA SANTO ANTONIO,-30.8419325,-52.2179372
86045,AMARAL FERRADOR,19,1104,E. E. POMPILIO XAVIER - FOLES,FOLES,-30.704854,-52.419316
86045,AMARAL FERRADOR,19,1112,E. M.  SANTA IZABEL - MORRO AGUDO,MORRO AGUDO,,
85251,ARROIO GRANDE,92,1015,ASSOCIAÇÃO ATLÉTICA BANCO DO BRASIL (AABB),AV NOSSA SENHORA DA GRAÇA 230,-29.6806991,-53.7087577
85251,ARROIO GRANDE,92,1023,CENTRO DE CULTURA BASÍLIO CONCEIÇÃO,"RUA DR MONTEIRO, 185",-32.2386472,-53.0861085
85251,ARROIO GRANDE,92,1031,EMEI GOVERNADOR LEONEL DE MOURA BRIZOLA,"MOACIR DA ROSA PRESTES/LEONEL FAGUNDES, 1985",,
85251,ARROIO GRANDE,92,1058,CLUBE CAIXEIRAL,AVENIDA VISCONDE DE MAUÁ N 465,-32.2426959,-53.069819
85251,ARROIO GRANDE,92,1066,PONTO DE CULTURA AXÉ RAÍZES,"RUA BASÍLIO DA CONCEIÇÃO, 181",,
85251,ARROIO GRANDE,92,1082,EMATER - ARROIO GRANDE,RUA JULIO DE CASTILHOS N 190           CENTRO,-32.2368477,-53.0848972
85251,ARROIO GRANDE,92,1090,INST EST DE EDUCAÇÃO AIMONE SOARES CARRICONDE,RUA LEONEL FAGUNDES N 63,-32.2343263,-53.0730793
85251,ARROIO GRANDE,92,1104,CENTRO DE CULTURA BASÍLIO CONCEIÇÃO,"RUA DOUTOR MONTEIRO, 951",-32.2331434,-53.0845744
85251,ARROIO GRANDE,92,1112,EEEF DR. DIONÍSIO DE MAGALHÃES,RUA DR DIONÍSIO DE MAGALHÃES N 1116,-32.2411539,-53.0747923
85251,ARROIO GRANDE,92,1120,EEEM VINTE DE SETEMBRO,RUA RUI BARBOSA N 651,-32.233297,-53.0820494
