CD_MUNICIPIO,NM_MUNICIPIO,LATITUDE,LONGITUDE
86045,AMARAL FERRADOR,-30.8750633,-52.2542051
85251,ARROIO GRANDE,-32.2384246,-53.0866661
85375,BARRA DO RIBEIRO,-30.2925989,-51.3033906
85596,CACHOEIRA DO SUL,-30.0482234,-52.8901686
85693,CAMAQUÃ,-30.8524752,-51.8075619
85871,CANGUÇU,-31.398276,-52.6773522
85898,CANOAS,-29.9216045,-51.1799525
89737,CAPÃO DO LEÃO,-31.766133,-52.5013148
85944,CERRO GRANDE DO SUL,-30.5962963,-51.7517196
88269,CHUVISCA,-30.7543186,-51.9790909
85464,CRISTAL,-31.00166,-52.0491777
86274,DOM FELICIANO,-30.70214,-52.1080845
86290,DOM PEDRITO,-30.983755,-54.6746483
86355,ENCRUZILHADA DO SUL,-30.5433066,-52.5223514
86517,ESTEIO,-29.8511627,-51.1778852
87211,JAGUARÃO,-32.5662724,-53.3765705
86185,MORRO REDONDO,-31.5921148,-52.6257669
89672,PALMARES DO SUL,-30.2580247,-50.5097954
87874,PEDRO OSÓRIO,-31.861921,-52.8219388
87912,PELOTAS,-31.7699736,-52.3410161
88013,PORTO ALEGRE,-30.0324999,-51.2303767
88153,RIO GRANDE,-32.0334252,-52.0991297
88498,SANTA VITÓRIA DO PALMAR,-33.5198333,-53.3693967
88730,SÃO JOSÉ DO NORTE,-32.0145182,-52.0406082
88790,SÃO LOURENÇO DO SUL,-31.3669286,-51.9814839
88501,TURUÇU,-31.4191603,-52.1765159
89532,VACARIA,-28.5102901,-50.9356044
