CD_MUNICIPIO,NM_MUNICIPIO,LATITUDE,LONGITUDE
88986,ACEGUÁ,-31.8695131,-54.1615593
85014,AGUDO,-29.6423259,-53.2494005
85030,AJURICABA,-28.239654,-53.7693013
85057,ALECRIM,-27.6566142,-54.7653195
85073,ALEGRETE,-29.790166,-55.794862
85545,ALEGRIA,-27.8332103,-54.0574959
89001,ALMIRANTE TAMANDARÉ DO SUL,-28.1141129,-52.9134874
85090,ALPESTRE,-27.2512339,-53.0349646
84808,ALTO ALEGRE,-28.7755582,-52.9915086
86282,ALTO FELIZ,-29.3785943,-51.3123751
85111,ALVORADA,-29.9981184,-51.0772509
86304,AMETISTA DO SUL,-27.3617341,-53.1826575
86100,ANDRÉ DA ROCHA,-28.6309124,-51.5733328
85138,ANTA GORDA,-28.9718745,-52.0069187
85154,ANTÔNIO PRADO,-28.8567806,-51.2801355
86320,ARAMBARÉ,-30.9132252,-51.4994625
88862,ARARICÁ,-29.6168543,-50.929121
85170,ARATIBA,-27.3811174,-52.291613
85197,ARROIO DO MEIO,-29.4020392,-51.9444993
89028,ARROIO DO PADRE,-31.4428773,-52.4228985
85308,ARROIO DO SAL,-29.5497237,-49.887984
85235,ARROIO DO TIGRE,-29.334158,-53.0888935
85219,ARROIO DOS RATOS,-30.0894524,-51.7265541
85278,ARVOREZINHA,-28.8731093,-52.1757917
85294,AUGUSTO PESTANA,-28.5148413,-53.9906433
85316,BAGÉ,-31.3314264,-54.1062808
88927,BALNEÁRIO PINHAL,-30.2482237,-50.2339198
86363,BARRA DO GUARITA,-27.1888016,-53.7147086
88625,BARRA DO QUARAÍ,-30.208947,-57.5505128
85375,BARRA DO RIBEIRO,-30.2925989,-51.3033906
86380,BARRA DO RIO AZUL,-27.4086573,-52.41305
86401,BARRA FUNDA,-27.9230048,-53.0401045
85359,BARRACÃO,-27.6722339,-51.4583497
85391,BARROS CASSAL,-29.094938,-52.5832366
86223,BARÃO,-29.372474,-51.494908
85332,BARÃO DE COTEGIPE,-27.6214694,-52.3765316
86347,BARÃO DO TRIUNFO,-30.3909877,-51.7375349
88420,BENJAMIN CONSTANT DO SUL,-27.510014449199687,-52.60069584025635
85413,BENTO GONÇALVES,-29.1654014,-51.5197627
86428,BOA VISTA DAS MISSÕES,-27.6677983,-53.3127622
85430,BOA VISTA DO BURICÁ,-27.6687782,-54.1111913
89044,BOA VISTA DO CADEADO,-28.5783827,-53.8123759
89060,BOA VISTA DO INCRA,-28.8860851,-53.4837401
88161,BOA VISTA DO SUL,-29.3510488,-51.6779679
85456,BOM JESUS,-28.6692723,-50.4346894
98230,BOM PRINCÍPIO,-29.489788,-51.3566782
86444,BOM PROGRESSO,-27.5490948,-53.8655601
85472,BOM RETIRO DO SUL,-29.6000007,-51.9359243
84921,BOQUEIRÃO DO LEÃO,-29.30332,-52.4296817
85499,BOSSOROCA,-28.7278885,-54.9120278
89087,BOZANO,-28.3669953,-53.7705165
85510,BRAGA,-27.617348,-53.740514
85065,BROCHIER,-29.556766,-51.5963047
85537,BUTIÁ,-30.1256795,-51.9692224
85570,CACEQUI,-29.8838059,-54.8273443
85596,CACHOEIRA DO SUL,-30.0482234,-52.8901686
85618,CACHOEIRINHA,-29.9493353,-51.0898927
85634,CACIQUE DOBLE,-27.7700117,-51.6616409
85650,CAIBATÉ,-28.287909,-54.64027
85677,CAIÇARA,-27.2470588,-53.4443522
85960,CAMARGO,-28.5865661,-52.2031474
85715,CAMBARÁ DO SUL,-29.0489517,-50.145412
86460,CAMPESTRE DA SERRA,-28.7188986,-51.1063799
85731,CAMPINA DAS MISSÕES,-27.9910517,-54.8404714
85758,CAMPINAS DO SUL,-27.7167968,-52.6257885
85774,CAMPO BOM,-29.678418,-51.0572268
85790,CAMPO NOVO,-27.6792143,-53.8051654
85200,CAMPOS BORGES,-28.8852198,-52.999098
85812,CANDELÁRIA,-29.668391,-52.789495
86487,CANDIOTA,-31.5240806,-53.7049103
85855,CANELA,-29.3636094,-50.8096844
89109,CANUDOS DO VALE,-29.3240418,-52.2348494
84891,CAPELA DE SANTANA,-29.6926603,-51.3206659
86509,CAPITÃO,-29.2718294,-51.9869716
88200,CAPIVARI DO SUL,-30.1437605,-50.5129169
89125,CAPÃO BONITO DO SUL,-28.1287941,-51.393771
89150,CAPÃO DA CANOA,-29.7508278,-50.0210729
89141,CAPÃO DO CIPÓ,-28.9317296,-54.5555783
85910,CARAZINHO,-28.2981634,-52.7942363
88340,CARAÁ,-29.7916777,-50.4339994
85936,CARLOS BARBOSA,-29.2978372,-51.5005613
86525,CARLOS GOMES,-27.7161093,-51.9135613
85952,CASCA,-28.5652711,-51.9769207
85880,CASEIROS,-28.2721149,-51.6873536
85979,CATUÍPE,-28.255356,-54.013215
85995,CAXIAS DO SUL,-29.1685045,-51.1796385
85553,CAÇAPAVA DO SUL,-30.5113286,-53.4916761
86541,CENTENÁRIO,-27.7608249,-51.9984409
88641,CERRITO,-31.8546304,-52.8151659
86088,CERRO BRANCO,-29.6359134,-52.949799
85227,CERRO GRANDE,-27.6088939,-53.1663055
86010,CERRO LARGO,-28.147498,-54.7383681
86037,CHAPADA,-28.0587829,-53.0657459
86932,CHARQUEADAS,-29.9549088,-51.6249534
86568,CHARRUA,-27.9533747,-52.0312591
86053,CHIAPETTA,-27.923162,-53.9419052
88846,CHUÍ,-33.6895237,-53.454704
85804,CIDREIRA,-30.1657063,-50.218331
86070,CIRÍACO,-28.3429139,-51.8763682
86584,COLINAS,-29.3866023,-51.8697911
86096,COLORADO,-28.525842,-52.99282
86118,CONDOR,-28.2058277,-53.4844696
86134,CONSTANTINA,-27.7331711,-52.9929561
89168,COQUEIRO BAIXO,-29.181566,-52.097034
86606,COQUEIROS DO SUL,-28.1184032,-52.7824375
86622,CORONEL BARROS,-28.3826325,-54.0704116
86150,CORONEL BICACO,-27.7174002,-53.705821
89184,CORONEL PILAR,-29.27318,-51.6852347
89770,COTIPORÃ,-28.9950719,-51.696359
86649,COXILHA,-28.1255645,-52.2976394
86177,CRISSIUMAL,-27.4982242,-54.1024643
88528,CRISTAL DO SUL,-27.454386,-53.2482974
86193,CRUZ ALTA,-28.645056,-53.6058047
89206,CRUZALTENSE,-27.667414,-52.6487833
86215,CRUZEIRO DO SUL,-29.5139742,-51.9917068
85839,CÂNDIDO GODÓI,-27.951509,-54.751722
86231,DAVID CANABARRO,-28.3878667,-51.8472645
86665,DERRUBADAS,-27.2657279,-53.8618488
85049,DEZESSEIS DE NOVEMBRO,-28.2248993,-55.0480474
88188,DILERMANDO DE AGUIAR,-29.7049966,-54.2078988
86258,DOIS IRMÃOS,-29.58356,-51.089776
86681,DOIS IRMÃOS DAS MISSÕES,-27.6598825,-53.5330891
84824,DOIS LAJEADOS,-28.984916,-51.8366385
88463,DOM PEDRO DE ALCÂNTARA,-29.3698329,-49.8479971
86312,DONA FRANCISCA,-29.623063,-53.3560585
84883,DOUTOR MAURÍCIO CARDOSO,-27.5067264,-54.3626756
88307,DOUTOR RICARDO,-29.0901549,-51.9894847
86240,ELDORADO DO SUL,-29.9976311,-51.3063965
86339,ENCANTADO,-29.2392716,-51.8744817
86703,ENGENHO VELHO,-27.7114504,-52.9125692
85928,ENTRE RIOS DO SUL,-27.5299266,-52.7325438
85103,ENTRE-IJUÍS,-28.361628,-54.2670019
85081,EREBANGO,-27.8542708,-52.3029274
86371,ERECHIM,-27.6350709,-52.2738654
85022,ERNESTINA,-28.498434,-52.5702451
86410,ERVAL GRANDE,-27.3910282,-52.5703742
86436,ERVAL SECO,-27.5511418,-53.506851
86452,ESMERALDA,-28.0543707,-51.1921896
88285,ESPERANÇA DO SUL,-27.3617442,-53.9909736
86479,ESPUMOSO,-28.7256962,-52.8453751
85286,ESTAÇÃO,-27.9128965,-52.2606058
86533,ESTRELA,-29.5010545,-51.962226
88404,ESTRELA VELHA,-29.1775802,-53.1597523
86495,ESTÂNCIA VELHA,-29.6529666,-51.1719687
85448,EUGÊNIO DE CASTRO,-28.5286033,-54.1475172
84930,FAGUNDES VARELA,-28.8807515,-51.6987798
86550,FARROUPILHA,-29.22647,-51.3468188
86576,FAXINAL DO SOTURNO,-29.5771687,-53.445804
86029,FAXINALZINHO,-27.4240501,-52.6738684
88366,FAZENDA VILANOVA,-29.588511,-51.821714
86592,FELIZ,-29.4523254,-51.3069785
86614,FLORES DA CUNHA,-29.030129,-51.1833349
88242,FLORIANO PEIXOTO,-27.8603248,-52.0856015
86630,FONTOURA XAVIER,-28.981655,-52.344455
86657,FORMIGUEIRO,-29.9982245,-53.5029931
89222,FORQUETINHA,-29.3818754,-52.1008021
98272,FORTALEZA DOS VALOS,-28.7959241,-53.2246622
86673,FREDERICO WESTPHALEN,-27.35711,-53.3964117
86690,GARIBALDI,-29.2562253,-51.5269167
86720,GARRUCHOS,-28.1892458,-55.6382958
86711,GAURAMA,-27.5879319,-52.0927073
86738,GENERAL CÂMARA,-29.9059611,-51.7626198
86746,GENTIL,-28.4319165,-52.0348748
86770,GETÚLIO VARGAS,-27.8871493,-52.2257967
86797,GIRUÁ,-28.0299396,-54.3506855
85502,GLORINHA,-29.8790534,-50.7869437
86819,GRAMADO,-29.3792858,-50.8737019
86762,GRAMADO DOS LOUREIROS,-27.4439526,-52.9183699
86789,GRAMADO XAVIER,-29.2702991,-52.5785872
86835,GRAVATAÍ,-29.9440222,-50.9930938
84867,GUABIJU,-28.5417413,-51.6910921
86878,GUAPORÉ,-28.8471928,-51.8907881
86894,GUARANI DAS MISSÕES,-28.1445277,-54.5570355
86851,GUAÍBA,-30.1130731,-51.329442
85189,HARMONIA,-29.549989,-51.422308
86398,HERVAL,-32.0260806,-53.3951333
88323,HERVEIRAS,-29.4544867,-52.6529235
86916,HORIZONTINA,-27.627931,-54.3090256
86800,HULHA NEGRA,-31.4074739,-53.8699535
86959,HUMAITÁ,-27.5660564,-53.9719817
84972,IBARAMA,-29.4203176,-53.1313179
86975,IBIAÇÁ,-28.0564247,-51.8566036
86991,IBIRAIARAS,-28.3705672,-51.6366969
84964,IBIRAPUITÃ,-28.6226503,-52.5170577
87017,IBIRUBÁ,-28.630161,-53.096124
87033,IGREJINHA,-29.569318,-50.791894
87050,IJUÍ,-28.3878734,-53.9201692
87076,ILÓPOLIS,-28.92825,-52.125816
85685,IMBÉ,-29.975269,-50.128068
85782,IMIGRANTE,-29.354229,-51.7773242
87092,INDEPENDÊNCIA,-27.8523717,-54.1909592
86827,INHACORÁ,-27.8812321,-54.021433
85243,IPIRANGA DO SUL,-27.9367583,-52.4251556
84999,IPÊ,-28.8189281,-51.2796422
87114,IRAÍ,-27.1955392,-53.256791
88382,ITAARA,-29.6071165,-53.7557841
85901,ITACURUBI,-28.7962478,-55.2360598
86843,ITAPUCA,-28.7802782,-52.1727517
87130,ITAQUI,-29.1222037,-56.5551258
89249,ITATI,-29.4918877,-50.102071
87157,ITATIBA DO SUL,-27.3859383,-52.4559831
85626,IVORÁ,-29.5196814,-53.5804505
87173,IVOTI,-29.5934057,-51.1599403
84786,JABOTICABA,-27.6311203,-53.2794089
89265,JACUIZINHO,-29.0342213,-53.0534957
87190,JACUTINGA,-27.729135,-52.53724
87238,JAGUARI,-29.4980313,-54.6919404
84905,JAQUIRANA,-28.8836757,-50.3580098
88587,JARI,-29.292234,-54.223711
98299,JÓIA,-28.6465036,-54.1199165
87254,JÚLIO DE CASTILHOS,-29.2286575,-53.6825217
89281,LAGOA BONITA DO SUL,-29.4903817,-53.0145712
86886,LAGOA DOS TRÊS CANTOS,-28.5668647,-52.8581637
87270,LAGOA VERMELHA,-28.2087034,-51.527499
85260,LAGOÃO,-29.2242092,-52.7738611
87297,LAJEADO,-29.4671522,-51.9624046
86860,LAJEADO DO BUGRE,-27.6903262,-53.1811907
87319,LAVRAS DO SUL,-30.8118057,-53.8982856
87335,LIBERATO SALZANO,-27.6003296,-53.0714815
86908,LINDOLFO COLLOR,-29.5956301,-51.2102797
86924,LINHA NOVA,-29.467709,-51.2001125
87351,MACHADINHO,-27.5658904,-51.6677057
88943,MAMPITUBA,-29.2128226,-49.9344527
86940,MANOEL VIANA,-29.585935,-55.484112
86967,MAQUINÉ,-29.6756372,-50.2056317
86983,MARATÁ,-29.549349,-51.5546411
87378,MARAU,-28.4493053,-52.2002156
87394,MARCELINO RAMOS,-27.4622708,-51.9081009
87009,MARIANA PIMENTEL,-30.3536856,-51.5832775
87416,MARIANO MORO,-27.3541972,-52.1469053
88820,MARQUES DE SOUZA,-29.3275642,-52.0961801
87432,MATA,-29.5637643,-54.4590898
87025,MATO CASTELHANO,-28.2782729,-52.1948111
87041,MATO LEITÃO,-29.5281244,-52.1278069
89303,MATO QUEIMADO,-28.257822,-54.61709
87459,MAXIMILIANO DE ALMEIDA,-27.6326512,-51.8046768
88447,MAÇAMBARÁ,-29.144485,-56.067444
87068,MINAS DO LEÃO,-30.1334499,-52.0455962
87475,MIRAGUAÍ,-27.4943651,-53.6874223
85820,MONTAURI,-28.6501657,-52.0757639
88803,MONTE ALEGRE DOS CAMPOS,-28.6840498,-50.7820322
87084,MONTE BELO DO SUL,-29.1636205,-51.6347449
87491,MONTENEGRO,-29.6826112,-51.4687455
87106,MORMAÇO,-28.6935499,-52.6925978
87122,MORRINHOS DO SUL,-29.3653782,-49.9314425
87149,MORRO REUTER,-29.5389519,-51.0818864
87513,MOSTARDAS,-31.10538,-50.916692
88544,MUITOS CAPÕES,-28.3162856,-51.1836226
87165,MULITERNO,-28.3295989,-51.7682438
87530,MUÇUM,-29.1672546,-51.8745312
87181,NICOLAU VERGUEIRO,-28.5361987,-52.4631712
87572,NONOAI,-27.3660882,-52.7717853
86169,NOVA ALVORADA,-28.6774191,-52.1663732
87599,NOVA ARAÇÁ,-28.6604116,-51.7424776
